,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,77.95,73,26,22.37,PF,1600881410
1,Puerto Ayora,-0.74,-90.35,71.01,83,93,7.0,EC,1600881411
2,Dingle,11.0,122.67,76.06,88,60,1.36,PH,1600881411
3,East London,-33.02,27.91,64.4,77,5,4.7,ZA,1600881412
4,Ponta do Sol,32.67,-17.1,78.8,61,40,11.41,PT,1600881412
5,Paka,4.64,103.44,77.0,94,64,3.15,MY,1600881413
6,Portland,45.52,-122.68,64.0,77,90,9.17,US,1600881413
7,Busselton,-33.65,115.33,57.0,54,0,13.62,AU,1600881414
8,Abhā,18.22,42.51,77.0,14,75,12.75,SA,1600881141
9,Alice Springs,-23.7,133.88,53.6,34,0,8.19,AU,1600881415
10,Cape Town,-33.93,18.42,61.0,87,22,13.87,ZA,1600881415
11,Rikitea,-23.12,-134.97,72.12,74,3,12.86,PF,1600881416
12,Hobart,-42.88,147.33,42.8,87,75,4.7,AU,1600881295
13,Severnyy,50.68,36.55,68.0,32,0,2.24,RU,1600881417
14,Qaanaaq,77.48,-69.36,16.2,83,78,13.78,GL,1600881251
15,Bluff,-46.6,168.33,51.01,75,73,5.01,NZ,1600881418
16,Cherskiy,68.75,161.3,41.27,93,100,15.46,RU,1600881419
17,Esperance,-33.87,121.9,48.2,100,11,5.82,AU,1600881419
18,Keetmanshoop,-26.58,18.13,87.8,22,0,6.93,NA,1600881420
19,Tuktoyaktuk,69.45,-133.04,37.4,93,90,6.93,CA,1600881420
20,Gladstone,-23.85,151.25,71.6,88,90,3.36,AU,1600881421
21,Mahébourg,-20.41,57.7,69.8,73,40,5.82,MU,1600881246
22,Muros,42.78,-9.06,66.0,75,100,8.99,ES,1600881422
23,Gobabis,-22.45,18.97,79.48,17,87,5.3,NA,1600881422
24,Arraial do Cabo,-22.97,-42.03,75.2,64,75,11.41,BR,1600881423
25,Albany,42.6,-73.97,73.99,51,70,5.01,US,1600881423
26,Carnarvon,-24.87,113.63,62.6,72,75,4.7,AU,1600881424
27,Ushuaia,-54.8,-68.3,51.8,74,75,19.46,AR,1600881424
28,Lagoa,39.05,-27.98,64.44,75,49,21.77,PT,1600881425
29,Tasiilaq,65.61,-37.64,33.8,50,20,3.36,GL,1600881425
30,Vaini,-21.2,-175.2,69.8,88,20,5.82,TO,1600881427
31,Nemuro,43.32,145.57,56.16,70,0,11.68,JP,1600881427
32,Sitka,57.05,-135.33,53.6,81,90,11.41,US,1600881429
33,Faanui,-16.48,-151.75,78.62,80,17,17.34,PF,1600881429
34,Lebu,-37.62,-73.65,55.38,65,30,14.36,CL,1600881430
35,Mataura,-46.19,168.86,51.01,75,94,5.01,NZ,1600881430
36,Avarua,-21.21,-159.78,73.4,94,95,8.05,CK,1600881431
37,Shingū,33.73,135.98,68.59,80,15,6.26,JP,1600881179
38,Mount Gambier,-37.83,140.77,42.8,93,75,5.82,AU,1600881432
39,Shenjiamen,29.96,122.3,71.58,81,100,14.0,CN,1600881432
40,Jamestown,42.1,-79.24,72.0,64,40,11.41,US,1600881433
41,Bambous Virieux,-20.34,57.76,69.8,73,40,5.82,MU,1600881433
42,Punta Arenas,-53.15,-70.92,53.6,54,75,29.97,CL,1600881434
43,Hualmay,-11.1,-77.61,68.45,65,49,8.19,PE,1600881434
44,Yellowknife,62.46,-114.35,48.99,93,75,11.41,CA,1600881435
45,Saskylakh,71.92,114.08,45.12,73,0,14.63,RU,1600881435
46,Chagoda,59.16,35.33,53.71,93,0,5.03,RU,1600881437
47,Mana,5.66,-53.78,87.24,60,94,13.47,GF,1600881437
48,Alakurtti,66.97,30.35,48.0,77,96,8.99,RU,1600881438
49,Saint-Pierre,-21.34,55.48,68.0,68,4,4.7,RE,1600881438
50,Rawson,-43.3,-65.1,61.16,31,0,4.07,AR,1600881439
51,Alofi,-19.06,-169.92,66.2,100,100,2.24,NU,1600881439
52,Barrow,71.29,-156.79,30.2,74,90,3.36,US,1600881440
53,Srednekolymsk,67.45,153.68,36.68,90,48,7.14,RU,1600881440
54,Dikson,73.51,80.55,40.28,85,90,17.74,RU,1600881397
55,Lavrentiya,65.58,-171.0,38.53,86,89,5.3,RU,1600881441
56,Edremit,39.6,27.02,73.4,64,1,5.82,TR,1600881442
57,Itaituba,-4.28,-55.98,95.0,50,20,3.94,BR,1600881442
58,Grand Gaube,-20.01,57.66,68.0,73,0,3.0,MU,1600881443
59,Buraidah,26.33,43.98,96.8,18,0,5.82,SA,1600881443
60,Tortolì,39.93,9.66,82.4,30,20,18.34,IT,1600881444
61,Kaitangata,-46.28,169.85,48.99,74,85,4.0,NZ,1600881444
62,Visby,57.64,18.3,64.4,68,38,10.29,SE,1600881445
63,Archidona,37.1,-4.39,82.99,59,14,1.99,ES,1600881445
64,Talnakh,69.49,88.4,37.4,86,91,6.71,RU,1600881446
65,Upernavik,72.79,-56.15,27.0,97,98,8.95,GL,1600881447
66,Broome,42.25,-75.83,73.99,52,40,14.99,US,1600881447
67,Muzhi,65.37,64.67,39.38,93,100,3.58,RU,1600881448
68,New Norfolk,-42.78,147.06,41.0,77,42,2.21,AU,1600881448
69,Hermanus,-34.42,19.23,57.99,86,0,6.71,ZA,1600881449
70,Tateyama,34.98,139.87,66.2,93,75,24.16,JP,1600881449
71,Serik,36.92,31.1,80.6,74,20,5.82,TR,1600881450
72,KwaDukuza,-29.33,31.29,66.2,82,0,4.7,ZA,1600881450
73,Rome,43.21,-75.46,66.99,68,90,9.17,US,1600881451
74,Kapaa,22.08,-159.32,80.6,74,40,12.75,US,1600881451
75,Caravelas,-17.71,-39.25,80.46,61,77,10.74,BR,1600881452
76,Shimoda,34.67,138.95,63.0,88,100,3.0,JP,1600881452
77,Ribeira Grande,38.52,-28.7,68.0,64,75,17.22,PT,1600881453
78,Port Alfred,-33.59,26.89,63.72,74,31,7.4,ZA,1600881453
79,Mar del Plata,-38.0,-57.56,62.6,55,94,6.93,AR,1600881454
80,Thinadhoo,0.53,72.93,82.98,64,48,6.08,MV,1600881304
81,Campos Novos,-27.4,-51.23,75.94,44,0,1.21,BR,1600881455
82,Lompoc,34.64,-120.46,66.2,82,1,6.93,US,1600881455
83,Ransang,8.96,117.58,80.82,79,80,5.1,PH,1600881456
84,Yar-Sale,66.83,70.83,39.0,84,81,9.06,RU,1600881457
85,Husavik,66.04,-17.34,37.4,83,75,12.75,IS,1600881457
86,Dzerzhinsk,56.24,43.46,61.0,93,0,1.45,RU,1600881458
87,Khatanga,71.97,102.5,46.56,93,100,3.85,RU,1600881419
88,Dawlatabad,36.41,64.91,58.91,29,0,4.07,AF,1600881459
89,Narsaq,60.92,-46.05,44.6,19,40,8.05,GL,1600881460
90,Āstāneh-ye Ashrafīyeh,37.26,49.94,71.6,94,75,6.93,IR,1600881460
91,Cabo San Lucas,22.89,-109.91,91.0,66,20,8.05,MX,1600881352
92,Butaritari,3.07,172.79,81.55,76,69,15.23,KI,1600881461
93,Meulaboh,4.14,96.13,74.8,92,100,6.24,ID,1600881462
94,Bitburg,49.97,6.53,68.0,63,75,8.05,DE,1600881462
95,San Juan,-31.54,-68.54,79.23,16,91,11.43,AR,1600881463
96,Sri Aman,1.24,111.46,77.0,94,100,2.1,MY,1600881463
97,Havre-St-Pierre,50.23,-63.6,57.2,76,90,12.75,CA,1600881464
98,‘Āhuimanu,21.44,-157.84,79.0,74,20,10.29,US,1600881465
99,Jalu,29.03,21.55,83.55,31,0,7.14,LY,1600881247
100,La Orilla,17.98,-102.23,86.61,67,0,2.77,MX,1600881467
101,Hilo,19.73,-155.09,73.4,88,90,1.48,US,1600881467
102,Saint Paul Harbor,57.79,-152.41,51.8,81,90,10.29,US,1600881468
103,Kaka,37.35,59.61,60.4,30,0,5.75,TM,1600881469
104,Goba,7.02,39.98,53.51,82,93,2.48,ET,1600881469
105,Port Hardy,50.7,-127.42,55.4,93,90,4.7,CA,1600881470
106,Sosnovo-Ozerskoye,52.52,111.54,36.75,93,44,4.38,RU,1600881471
107,Tignère,7.37,12.65,67.24,93,86,4.47,CM,1600881471
108,Iqaluit,63.75,-68.51,35.6,82,90,23.04,CA,1600881472
109,Hong Kong,22.29,114.16,82.99,81,90,1.99,HK,1600881180
110,Castro,-24.79,-50.01,69.26,59,70,5.14,BR,1600881473
111,Spring Valley,36.11,-115.25,87.8,16,1,3.36,US,1600881474
112,Naze,28.37,129.48,78.8,94,90,2.24,JP,1600881474
113,Kaduqli,11.02,29.72,79.5,71,1,4.88,SD,1600881476
114,Kuzhorskaya,44.68,40.31,65.37,60,0,8.28,RU,1600881477
115,Puerto Escondido,15.85,-97.07,87.8,62,20,4.7,MX,1600881478
116,Fortuna,40.6,-124.16,72.0,72,1,5.82,US,1600881478
117,Flagstaff,35.2,-111.65,75.0,24,1,4.74,US,1600881479
118,San Patricio,19.22,-104.7,86.0,74,40,1.95,MX,1600881479
119,Makurdi,7.74,8.51,81.25,81,75,5.88,NG,1600881234
120,Saint-Philippe,-21.36,55.77,68.0,68,22,4.7,RE,1600881480
121,Mandalgovi,45.76,106.27,51.42,59,79,11.21,MN,1600881481
122,Seymchan,62.88,152.43,37.56,91,100,8.68,RU,1600881481
123,Vilyuysk,63.76,121.62,39.58,77,5,2.64,RU,1600881482
124,Lukoyanov,55.03,44.48,53.38,85,27,2.44,RU,1600881192
125,Dubbo,-32.25,148.62,42.8,87,26,6.93,AU,1600881483
126,Vila Velha,-20.33,-40.29,73.99,94,90,20.8,BR,1600881483
127,Berlevåg,70.86,29.09,44.6,70,75,14.99,NO,1600881485
128,Opuwo,-18.06,13.84,82.38,16,79,8.48,NA,1600881485
129,Tokur,53.13,132.9,38.93,91,30,2.06,RU,1600881486
130,Flinders,-34.58,150.86,55.0,65,0,1.01,AU,1600881486
