City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kemin,42.78,75.69,61.48,30,0,1.83,KG,1600697527
Winsum,53.33,6.52,73.4,40,0,2.24,NL,1600697923
Tiksi,71.69,128.87,44.76,77,84,12.12,RU,1600697471
Fairbanks,64.84,-147.72,35.01,90,75,2.95,US,1600697703
Hasaki,35.73,140.83,68.0,94,75,6.93,JP,1600697235
Punta Arenas,-53.15,-70.92,41.0,93,75,2.24,CL,1600697455
Flin Flon,54.77,-101.86,55.4,93,90,11.41,CA,1600697473
Kavaratti,10.57,72.64,81.77,78,100,24.96,IN,1600697637
Talnakh,69.49,88.4,50.0,76,74,24.61,RU,1600697557
Fortuna,40.6,-124.16,57.0,100,90,3.02,US,1600697575
Puerto Ayora,-0.74,-90.35,66.85,87,100,9.13,EC,1600697457
Manyana,-23.4,21.72,89.26,10,90,10.96,BW,1600697928
Kavieng,-2.57,150.8,82.65,78,23,12.84,PG,1600697540
Forsytheganj,52.63,29.73,64.74,55,89,5.77,BY,1600697929
Nemuro,43.32,145.57,61.99,84,22,7.9,JP,1600697743
Vaini,-21.2,-175.2,71.6,83,75,9.17,TO,1600697263
Tazovsky,67.47,78.7,55.44,64,15,21.45,RU,1600697595
Avera,33.19,-82.53,61.0,67,1,11.41,US,1600697932
Mataura,-46.19,168.86,54.0,64,50,11.99,NZ,1600697932
Pizarro,4.95,-77.37,79.23,87,91,4.36,CO,1600697933
Hobart,-42.88,147.33,52.0,76,75,4.7,AU,1600697450
Jamestown,42.1,-79.24,52.0,70,1,6.93,US,1600697453
Dvinskoy Bereznik,62.86,42.71,46.65,84,81,6.04,RU,1600697934
Slantsy,59.12,28.09,62.04,67,100,10.36,RU,1600697935
Touros,-5.2,-35.46,82.4,65,75,17.22,BR,1600697809
Butaritari,3.07,172.79,82.22,78,19,14.29,KI,1600697510
Coromandel,-18.47,-47.2,85.98,28,11,11.95,BR,1600697937
Lompoc,34.64,-120.46,53.6,100,90,0.65,US,1600697506
Griffith,41.53,-87.42,59.0,58,1,4.7,US,1600697825
Pangody,65.85,74.49,55.08,72,93,15.41,RU,1600697938
Vila,42.03,-8.16,66.99,68,87,10.0,PT,1600697939
Cape Town,-33.93,18.42,64.99,48,0,13.87,ZA,1600697345
Port-Gentil,-0.72,8.78,84.2,70,40,16.15,GA,1600697941
Asău,46.43,26.4,73.0,43,0,6.96,RO,1600697624
Chokurdakh,70.63,147.92,38.5,86,0,8.93,RU,1600697613
Egvekinot,66.32,-179.17,31.51,93,0,5.99,RU,1600697943
Hilo,19.73,-155.09,73.4,64,90,9.17,US,1600697488
Santa Marta,11.24,-74.2,84.99,77,99,5.53,CO,1600697944
Port Alfred,-33.59,26.89,62.89,56,2,20.54,ZA,1600697251
Rikitea,-23.12,-134.97,72.16,73,38,21.77,PF,1600697462
Oistins,13.07,-59.53,89.6,66,20,9.17,BB,1600697718
New Norfolk,-42.78,147.06,48.0,64,90,1.01,AU,1600697453
Tual,-5.67,132.75,81.21,84,81,20.04,ID,1600697946
Chui,-33.7,-53.46,52.47,55,2,9.8,UY,1600697508
Ushuaia,-54.8,-68.3,41.0,80,75,5.7,AR,1600697947
Nikolskoye,59.7,30.79,59.0,62,40,11.18,RU,1600697572
Manzhouli,49.6,117.43,44.22,81,18,8.34,CN,1600697947
Albany,42.6,-73.97,50.0,54,0,3.31,US,1600697483
Aklavik,68.22,-135.01,33.8,96,90,4.7,CA,1600697636
Thompson,55.74,-97.86,53.6,100,75,3.36,CA,1600697252
Port Moresby,-9.44,147.18,75.67,92,92,7.92,PG,1600697813
Mar del Plata,-38.0,-57.56,48.99,61,75,8.05,AR,1600697556
Lebu,-37.62,-73.65,52.68,79,100,11.39,CL,1600697451
Carnarvon,-24.87,113.63,64.4,68,0,17.22,AU,1600697484
Shache,38.42,77.24,67.01,25,0,10.27,CN,1600697685
Lavrentiya,65.58,-171.0,35.58,85,37,10.18,RU,1600697230
Ak-Dovurak,51.18,90.6,51.4,57,0,0.65,RU,1600697952
San Vicente,-26.62,-54.13,64.83,29,0,6.69,AR,1600697725
Mendi,-6.18,143.65,54.7,99,24,2.57,PG,1600697954
Smithers,54.78,-127.17,37.4,100,75,4.7,CA,1600697955
Norman Wells,65.28,-126.83,28.4,92,75,3.27,CA,1600697577
Cristalina,-16.77,-47.61,84.88,22,2,11.7,BR,1600697955
